Opening port
Port open
Debug on
Debug on
Compiled: Apr  3 2015, 14:43:17,
sampRate: 250 sampFreq: 250 sampIntUSec: 4000
MinCumCuts: 6 MinMinorDisplacements (M): 2 NumSecondsDisplacementLifetime (N): 8

Not logging to SD card
Logging to serial
Sample,I,Q,SumI,SumQ,CompI,CompQ,IsCut,CurrCuts,RunCuts,Disp,Conf
453,29,29,9725,9879,8,8,0,3,3,0,0
454,30,27,9755,9906,9,6,0,3,3,0,0
455,29,29,9784,9935,8,8,0,3,3,0,0
456,29,31,9813,9966,8,10,0,3,3,0,0
457,27,29,9840,9995,6,8,0,3,3,0,0
458,28,26,9868,10021,7,5,0,3,3,0,0
459,27,28,9895,10049,6,7,0,3,3,0,0
460,27,31,9922,10080,6,10,0,3,3,0,0
461,27,28,9949,10108,6,7,0,3,3,0,0
462,27,23,9976,10131,6,2,0,3,3,0,0
463,26,27,10002,10158,5,6,0,3,3,0,0
464,26,31,10028,10189,5,10,0,3,3,0,0
465,26,27,10054,10216,5,6,0,3,3,0,0
466,26,22,10080,10238,5,1,0,3,3,0,0
467,25,26,10105,10264,4,5,0,3,3,0,0
468,25,30,10130,10294,4,9,0,3,3,0,0
469,26,26,10156,10320,5,4,0,3,3,0,0
470,25,21,10181,10341,4,-1,0,3,3,0,0
471,23,25,10204,10366,2,3,0,3,3,0,0
472,24,28,10228,10394,3,6,0,3,3,0,0
473,26,24,10254,10418,5,2,0,3,3,0,0
474,24,21,10278,10439,3,-1,0,3,3,0,0
475,22,24,10300,10463,1,2,0,3,3,0,0
476,24,26,10324,10489,3,4,0,3,3,0,0
477,25,23,10349,10512,4,1,0,3,3,0,0
478,23,23,10372,10535,2,1,0,3,3,0,0
479,20,24,10392,10559,-1,2,0,3,3,0,0
480,22,22,10414,10581,1,0,0,3,3,0,0
481,25,22,10439,10603,4,0,0,3,3,0,0
482,22,22,10461,10625,1,0,0,3,3,0,0
483,18,22,10479,10647,-3,0,0,3,3,0,0
484,21,21,10500,10668,0,-1,0,3,3,0,0
485,24,21,10524,10689,3,-1,0,3,3,0,0
486,21,21,10545,10710,0,-1,0,3,3,0,0
487,16,21,10561,10731,-5,-1,0,3,3,0,0
488,20,20,10581,10751,-1,-2,0,3,3,0,0
489,24,20,10605,10771,3,-2,0,3,3,0,0
490,20,20,10625,10791,-1,-2,0,3,3,0,0
491,15,20,10640,10811,-6,-2,0,3,3,0,0
