Opening port
Debug on
Port open
Compiled: Apr  2 2015, 13:03:29,
#,Parameter,value,comment
#,sampRate,250,Samples per second desired
#,sampFreq,250,Samples per second used
#,sampIntUSec,4000,Sample interval in microseconds
#,MinCumCuts,6,Minimum number of cumulative cuts per snippet for displacement
#,M,2
#,N,8

Not logging to SD card
Logging to serial
$,Sample,I,Q,IsCut,CurrCuts,RunCuts,Disp,Conf
$,282,17,22,1,-1,-1,,
$,283,18,18,-1,-2,-2,,
$,284,17,13,0,-2,-2,,
$,285,16,17,0,-2,-2,,
$,286,17,22,1,-1,-1,,
$,287,18,17,-1,-2,-2,,
$,288,17,13,0,-2,-2,,
$,289,16,17,0,-2,-2,,
$,290,17,22,1,-1,-1,,
$,291,19,17,-1,-2,-2,,
$,292,17,14,0,-2,-2,,
$,293,15,18,0,-2,-2,,
$,294,17,21,1,-1,-1,,
$,295,19,17,-1,-2,-2,,
$,296,17,16,0,-2,-2,,
$,297,16,18,0,-2,-2,,
$,298,17,18,0,-2,-2,,
$,299,20,17,0,-2,-2,,
$,300,18,17,0,-2,-2,,
$,301,15,17,0,-2,-2,,
$,302,17,18,0,-2,-2,,
$,303,21,17,0,-2,-2,,
$,304,18,18,0,-2,-2,,
$,305,14,18,0,-2,-2,,
$,306,17,18,0,-2,-2,,
$,307,23,18,0,-2,-2,,
$,308,18,19,0,-2,-2,,
$,309,13,18,0,-2,-2,,
$,310,18,17,0,-2,-2,,
$,311,23,18,0,-2,-2,,
$,312,18,19,0,-2,-2,,
$,313,13,18,0,-2,-2,,
$,314,18,17,0,-2,-2,,
$,315,22,18,0,-2,-2,,
$,316,17,20,0,-2,-2,,
$,317,13,18,-1,-3,-3,,
$,318,17,16,0,-3,-3,,
$,319,21,18,0,-3,-3,,
$,320,17,20,0,-3,-3,,
$,321,15,18,-1,-4,-4,,
$,322,18,15,0,-4,-4,,
$,323,18,17,0,-4,-4,,
$,324,16,20,1,-3,-3,,
$,325,17,17,-1,-4,-4,,
$,326,17,14,0,-4,-4,,
$,327,17,17,0,-4,-4,,
$,328,17,21,1,-3,-3,,
$,329,17,17,-1,-4,-4,,
$,330,17,13,0,-4,-4,,
$,331,17,17,0,-4,-4,,
$,332,17,21,1,-3,-3,,
$,333,18,17,-1,-4,-4,,
$,334,17,14,0,-4,-4,,
$,335,16,17,0,-4,-4,,
$,336,17,22,1,-3,-3,,
$,337,18,18,-1,-4,-4,,
$,338,17,13,0,-4,-4,,
$,339,16,17,0,-4,-4,,
$,340,17,22,1,-3,-3,,
$,341,19,17,-1,-4,-4,,
$,342,17,13,0,-4,-4,,
$,343,16,17,0,-4,-4,,
$,344,17,21,1,-3,-3,,
$,345,19,17,-1,-4,-4,,
$,346,17,15,0,-4,-4,,
$,347,16,18,0,-4,-4,,
$,348,17,19,0,-4,-4,,
$,349,20,17,0,-4,-4,,
$,350,18,18,0,-4,-4,,
$,351,14,18,0,-4,-4,,
$,352,17,18,0,-4,-4,,
$,353,21,18,0,-4,-4,,
$,354,17,18,0,-4,-4,,
$,355,14,18,0,-4,-4,,
$,356,17,18,0,-4,-4,,
$,357,21,18,0,-4,-4,,
$,358,17,19,0,-4,-4,,
$,359,13,18,0,-4,-4,,
$,360,17,17,0,-4,-4,,
$,361,22,18,0,-4,-4,,
$,362,17,19,0,-4,-4,,
$,363,12,18,0,-4,-4,,
$,364,17,16,0,-4,-4,,
$,365,22,17,0,-4,-4,,
$,366,17,18,0,-4,-4,,
$,367,12,17,0,-4,-4,,
$,368,17,16,0,-4,-4,,
$,369,21,17,0,-4,-4,,
$,370,16,19,0,-4,-4,,
$,371,14,17,0,-4,-4,,
$,372,17,15,0,-4,-4,,
$,373,18,17,0,-4,-4,,
$,374,16,19,0,-4,-4,,
$,375,16,17,0,-4,-4,,
$,376,17,14,0,-4,-4,,
$,377,16,16,0,-4,-4,,
$,378,16,20,1,-3,-3,,
$,379,17,17,-1,-4,-4,,
$,380,16,13,0,-4,-4,,
$,381,16,16,0,-4,-4,,
$,382,16,21,1,-3,-3,,
$,383,17,17,-1,-4,-4,,
$,384,16,13,0,-4,-4,,
$,385,16,17,0,-4,-4,,
$,386,16,21,1,-3,-3,,
$,387,18,17,-1,-4,-4,,
$,388,17,12,0,-4,-4,,
$,389,16,16,0,-4,-4,,
$,390,17,22,1,-3,-3,,
$,391,18,17,-1,-4,-4,,
$,392,17,12,0,-4,-4,,
$,393,15,17,0,-4,-4,,
$,394,16,21,1,-3,-3,,
$,395,18,16,-1,-4,-4,,
$,396,16,14,0,-4,-4,,
$,397,15,17,0,-4,-4,,
$,398,16,19,0,-4,-4,,
$,399,18,16,0,-4,-4,,
$,400,16,17,0,-4,-4,,
$,401,13,18,0,-4,-4,,
$,402,15,17,0,-4,-4,,
$,403,18,17,0,-4,-4,,
$,404,15,17,0,-4,-4,,
$,405,13,17,0,-4,-4,,
$,406,15,16,0,-4,-4,,
$,407,20,16,0,-4,-4,,
$,408,16,17,0,-4,-4,,
$,409,11,16,0,-4,-4,,
$,410,15,16,0,-4,-4,,
$,411,21,16,0,-4,-4,,
$,412,16,17,0,-4,-4,,
$,413,12,16,0,-4,-4,,
$,414,16,16,0,-4,-4,,
$,415,21,16,0,-4,-4,,
$,416,16,18,0,-4,-4,,
$,417,11,17,0,-4,-4,,
$,418,16,15,0,-4,-4,,
$,419,21,16,0,-4,-4,,
$,420,16,18,0,-4,-4,,
$,421,13,16,0,-4,-4,,
$,422,17,15,0,-4,-4,,
$,423,18,16,0,-4,-4,,
$,424,15,19,1,-3,-3,,
$,425,16,17,-1,-4,-4,,
$,426,17,13,0,-4,-4,,
$,427,17,16,0,-4,-4,,
$,428,16,20,1,-3,-3,,
$,429,17,16,-1,-4,-4,,
$,430,17,14,0,-4,-4,,
$,431,17,17,0,-4,-4,,
$,432,17,22,1,-3,-3,,
$,433,17,18,0,-3,-3,,
$,434,17,13,0,-3,-3,,
$,435,16,17,0,-3,-3,,
$,436,16,21,1,-2,-2,,
